★更新说明,#genre#
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225737/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225738/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225746/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225740/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8
黑龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225736/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225735/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
宁夏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
海南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225722/index.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
内蒙古卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
上海纪实,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226137/3.m3u8
上海纪实,http://111.20.45.155/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
金鹰纪实,http://111.20.45.159/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
金鹰卡通,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
哈哈卡通,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226139/3.m3u8
动漫秀场,http://39.135.253.53/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221225977/3.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
哈哈炫动,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hhxdhd/4000000/mnf.m3u8
第一财经,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dycjhd/4000000/mnf.m3u8
生活时尚,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/shsshd/4000000/mnf.m3u8
游戏风云,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/yxfyhd/4000000/mnf.m3u8
五星体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
魅力足球,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
极速汽车,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/jsqchd/4000000/mnf.m3u8
都市剧场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dsjchd/4000000/mnf.m3u8
幸福彩台,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xfchd/4000000/mnf.m3u8
欢笑剧场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/hxjchd/4000000/mnf.m3u8
动漫秀场,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dmxchd/4000000/mnf.m3u8
新视觉台,http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
晴天TV源,#genre#
 CNN,mitv://ns2.hellotvvod.com:9906/bae7a3cd9fc4474d870d113a3a1568ab.ts
 民视,mitv://ns2.hellotvvod.com:9906/dd73c49173864bbab5d35a5206484e4f.ts
 人间卫视,mitv://ns2.hellotvvod.com:9906/49773b8c2234445ab80b0fb92af019b3.ts
 台视,mitv://ns2.hellotvvod.com:9906/37f03ddb4acb47eda3b231404b360eab.ts
 大爱,mitv://ns2.hellotvvod.com:9906/1032e7730bbb403fa84dddcb5235d597.ts
 中视,mitv://ns2.hellotvvod.com:9906/cc5e569461174c6f9f6e3d18b48a2227.ts
 霹雳台湾台,mitv://ns2.hellotvvod.com:9906/dacc9f2c7ce5436894958b3815208ff2.ts
 华视,mitv://ns2.hellotvvod.com:9906/dabf0aa252474d56802472da328b7cc6.ts
 公视,mitv://ns2.hellotvvod.com:9906/ee7792c1d8f143d784a47b87e744fa05.ts
 公视台语台,mitv://ns2.hellotvvod.com:9906/95e3759e44c2448c9f8268461f690082.ts
 好消息,mitv://ns2.hellotvvod.com:9906/063115a5788f4994832193a834a741d8.ts
 原住民宿电视台,mitv://ns2.hellotvvod.com:9906/b5b4fbb569a14c97a92555b716dff06a.ts
 客家电视台,mitv://ns2.hellotvvod.com:9906/6c01450b3b254fe19ce7decb3be470c0.ts
 国家地理频道,mitv://ns2.hellotvvod.com:9906/b0c1d72eab0e4496a9f0a918f6096ccf.ts
 探索频道,mitv://ns2.hellotvvod.com:9906/2b6eff2488f2400b9b14a830c258b938.ts
 TLC旅游生活,mitv://ns2.hellotvvod.com:9906/3a8e0f7de6d24d199a3d739971364283.ts
 动物星球,mitv://ns2.hellotvvod.com:9906/117a6a70ca9949b18ff9acfc2550263a.ts
 CN卡通频道,mitv://ns2.hellotvvod.com:9906/60cf0100fbed4553b8999b2641e7ea15.ts
 迪士尼频道,mitv://ns2.hellotvvod.com:9906/75cbd3a3f73843819ed1f7fe65e65478.ts
 MOMO亲子台,mitv://ns2.hellotvvod.com:9906/f66954a6b3ed450e92c4377585a25ee5.ts
 东森幼幼台,mitv://ns2.hellotvvod.com:9906/0e2f7622450c42eb90638100616e08d0.ts
 纬来综合台,mitv://ns2.hellotvvod.com:9906/c4da7cf8fe81446186a814cacedd7918.ts
 八大第一台,mitv://ns2.hellotvvod.com:9906/b3dc7888db7d412480245f235bb7be26.ts
 八大综合台,mitv://ns2.hellotvvod.com:9906/ec71f43a9a6c45e4b24e395242aefc02.ts
 三立台湾台,mitv://ns2.hellotvvod.com:9906/40c2d16e49c3471ab9b782a8ab014969.ts
 三立都会台,mitv://ns2.hellotvvod.com:9906/5f6edd6e049f4e8784cca199f518c8cf.ts
 卫视中文,mitv://ns2.hellotvvod.com:9906/d7659a0d3e4d4fdcb020f74779717119.ts
 东森综合台,mitv://ns2.hellotvvod.com:9906/3647889187c641a982e17af817155d4c.ts
 超视,mitv://ns2.hellotvvod.com:9906/31fc77a5bf0e42de80b5e587c13712ca.ts
 中天综合台,mitv://ns2.hellotvvod.com:9906/811cbcef9ba144459c8ee6bcc434020b.ts
 中天娱乐台,mitv://ns2.hellotvvod.com:9906/2ba0e9cdda8a49bb9f0caaf2ef93c15c.ts
 东森戏剧台,mitv://ns2.hellotvvod.com:9906/9c059a4595e34d27a4ca9231a7859b78.ts
 八大戏剧台,mitv://ns2.hellotvvod.com:9906/2ba61847eef546a397e91f9dd188f311.ts
 TVBS欢乐台,mitv://ns2.hellotvvod.com:9906/969f7bc3ed784b2cb35fa978ec8ceb08.ts
 纬来戏剧台,mitv://ns2.hellotvvod.com:9906/eb29f577482045a0b3b95318d974f9c3.ts
 高点综合台,mitv://ns2.hellotvvod.com:9906/fa904a50e49d426b9e91564bdf8ff814.ts
 BBC World News,mitv://ns2.hellotvvod.com:9906/0a24d0186d0f4c52abe3e693484b9004.ts
 Al Jazeera English,mitv://ns2.hellotvvod.com:9906/23cb2da5d953404bb02f923b9115b7b4.ts
 CNBC,mitv://ns2.hellotvvod.com:9906/c8422a5f2b1a4d3b9a534d651ff10bb4.ts
 Bloomberg TV,mitv://ns2.hellotvvod.com:9906/81d42b57a71c4522b629e44365a9d3d0.ts
 HITS,mitv://ns2.hellotvvod.com:9906/f178b218faa643cdb5bc879a0d9e2742.ts
 JET综合台,mitv://ns2.hellotvvod.com:9906/78b60d9ee1d4406ea2d9983882b369c9.ts
 壹电视新闻台,mitv://ns2.hellotvvod.com:9906/49118f615b0c47bbb4d594b84cf972b9.ts
 年代新闻,mitv://ns2.hellotvvod.com:9906/ebeefb251f3c4e62bcb3e287b0556678.ts
 东森新闻台,mitv://ns2.hellotvvod.com:9906/800654ac7ac445b396dc7324fc62f2b4.ts
 中天新闻台,mitv://ns2.hellotvvod.com:9906/1f92c6c7572a4cdda568d418b7747d72.ts
 民视新闻台,mitv://ns2.hellotvvod.com:9906/ceff0b57418b493eb27468a2f577e088.ts
 三立新闻台,mitv://ns2.hellotvvod.com:9906/47f5c98e90664e4aa4afb419eb83a723.ts
 TVBS新闻台,mitv://ns2.hellotvvod.com:9906/674418ac47f049e4b5a277a73c4e126c.ts
 TVBS,mitv://ns2.hellotvvod.com:9906/411cd03d5d384ff5a160f621dafebb76.ts
 东森财经新闻台,mitv://ns2.hellotvvod.com:9906/2c3bda4e0c954508b08ec1dd2483761b.ts
 非凡新闻台,mitv://ns2.hellotvvod.com:9906/6ef970460d58403c8910beb73fd5a82e.ts
 卫视电影台,mitv://ns2.hellotvvod.com:9906/a0abfc3a89294cc1bbf3f7ea969fa6c2.ts
 东森电影台,mitv://ns2.hellotvvod.com:9906/07e578061b92477898c41a2c164abb07.ts
 纬来电影台,mitv://ns2.hellotvvod.com:9906/97e3ff82eecb49fdb9a85f8362732d17.ts
 龙祥电影,mitv://ns2.hellotvvod.com:9906/c8b790b6d0ef4cecb148b5221a5e99c9.ts
 HBO,mitv://ns2.hellotvvod.com:9906/4f440fe87f32448cb80836b273b94564.ts
 东森洋片台,mitv://ns2.hellotvvod.com:9906/f2eeca04f8714bd88a01fc7c4436a42b.ts
 AXN,mitv://ns2.hellotvvod.com:9906/71bc8c65b9bb40c984e3079fc715e8a6.ts
 好莱坞电影台,mitv://ns2.hellotvvod.com:9906/b33e480c6aff4b279c9afd46028b4a33.ts
 CINEMAX,mitv://ns2.hellotvvod.com:9906/f61fca27e52045eb9b7e5f00614abe12.ts
 纬来育乐台,mitv://ns2.hellotvvod.com:9906/50dddddb64454aeb99cc6c66c7a73519.ts
 纬来体育台,mitv://ns2.hellotvvod.com:9906/ba2daf0e420d4178b6a1109ef39985fb.ts
 MOMO追剧台,mitv://147.135.39.171:9906/5e5a0c1500031eca3b4f80701a63557e.ts
 ELEVEN体育1台,mitv://ns2.hellotvvod.com:9906/8fe95567103748949e69763264d4ad03.ts
 纬来日本,mitv://ns2.hellotvvod.com:9906/acca9e4162c542e39ab9328c4b695768.ts
 国兴卫视,mitv://ns2.hellotvvod.com:9906/2cfe236b555d4026ae0ca9c0d9cef040.ts
 FOX,mitv://ns2.hellotvvod.com:9906/3b24f724ee9e43c0877e592e02bdd0b3.ts
 Z频道,mitv://ns2.hellotvvod.com:9906/08c1548128004fe48447fba07e3e8d18.ts
 Animax,mitv://ns2.hellotvvod.com:9906/5dccb6810b6043d29737671610e6de1e.ts
 MTV,mitv://ns2.hellotvvod.com:9906/60a7afbea8cc46d89065b6c689d0e839.ts
 八大娱乐台,mitv://ns2.hellotvvod.com:9906/4d988ae3c40348bc897f0bfddccf7a78.ts
 三立iNEWS,mitv://ns2.hellotvvod.com:9906/bbb8aa7ffd6f4aefa1de707573cb5688.ts
 DW,mitv://ns2.hellotvvod.com:9906/f078316dfc47454b9fed39ea419f9737.ts
 France24,mitv://ns2.hellotvvod.com:9906/ae1c41ba5e7d476783890e1463ab192f.ts
 非凡商业台,mitv://ns2.hellotvvod.com:9906/6aee23da8a9b4c4b93718b7e5a7b5c8a.ts
 公视3台,mitv://ns2.hellotvvod.com:9906/f6b6ec0427a4467190ba6032285a7d65.ts
 大爱2台,mitv://ns2.hellotvvod.com:9906/ffc1e320f85f4f87806c6381c79bafc0.ts
  Baby TV,mitv://147.135.39.171:9906/60578443000aa0e9a3430054427b391c.ts
 Boomerang,mitv://147.135.39.171:9906/5defdab700000f496ea0bdbd5c1a54bc.ts
 ELTV生活英语台,mitv://ns2.hellotvvod.com:9906/83a726a625a046babdf56368ffd5b3e0.ts
 尼克儿童频道,mitv://147.135.39.171:9906/5d0e403800011a4910fbd8d44f7a61bc.ts
 靖洋卡通Nice Bingo,mitv://ns2.hellotvvod.com:9906/b59f0e909cee416bbbff81ddbf073d16.ts
 靖天卡通台,mitv://ns2.hellotvvod.com:9906/785aebf07d664e59951db1dc09df5279.ts
 达文西频道,mitv://ns2.hellotvvod.com:9906/e3cc3e6ce0dd4a6b9ac663bd8233a592.ts
 Nick Jr.,mitv://ns2.hellotvvod.com:9906/ff037e9f9380458894e7c071632fe20c.ts
 国会频道1,mitv://ns2.hellotvvod.com:9906/b3fcf3dc4ac647da9d175572fa17855b.ts
 国会频道2,mitv://ns2.hellotvvod.com:9906/f04fa35bbc24474a9d6f14a704edab54.ts
 MTV Live,mitv://ns2.hellotvvod.com:9906/30146c427f02415580de249d9d264f77.ts
 Mezzo Live,mitv://ns2.hellotvvod.com:9906/d1ffae732da44c8981294aca05cd9779.ts
 CLASSICA 古典乐,mitv://ns2.hellotvvod.com:9906/f2199560d05d40ebbb531be280fd5d66.ts
 CMusic,mitv://ns2.hellotvvod.com:9906/822a0c7f15214acc9f47a49bd8d632bc.ts
 ELTA体育1台,mitv://ns2.hellotvvod.com:9906/8a0b60056ef8450ea6b437a254baf153.ts
 ELTA体育2台,mitv://ns2.hellotvvod.com:9906/0854840390234a27a35836d9eb92758b.ts
 ELTA体育3台,mitv://ns2.hellotvvod.com:9906/1e197fb00f454107850d961afa5f4d50.ts
 TRACE Sport Stars,mitv://ns2.hellotvvod.com:9906/6605ad67c9544f47b98357b53df26b1f.ts
 博斯高球,mitv://ns2.hellotvvod.com:9906/8d4aa12887f5458496ff585383198b3b.ts
 博斯高球二台,mitv://ns2.hellotvvod.com:9906/91af062f2898445aaf48257942dce8e5.ts
 博斯网球台,mitv://ns2.hellotvvod.com:9906/6686923ae9e14d4fbdf7369884262919.ts
 博斯魅力网,mitv://ns2.hellotvvod.com:9906/2182ed4e32d54661b97a38322d922cf9.ts
 博斯无限台,mitv://ns2.hellotvvod.com:9906/a0bae46327d944eeb74ed4cd7e024fe5.ts
 博斯无限二台,mitv://ns2.hellotvvod.com:9906/e7e7eb35102c4d4986c3ad85037089bd.ts
 FOX SPORTS 3 HD,mitv://ns2.hellotvvod.com:9906/b32462bc88bc41eabaac6e85996ef0ed.ts
 博斯运动,mitv://ns2.hellotvvod.com:9906/68305832e2394cc9abd4560f611c8a17.ts
 ELEVEN体育2台,mitv://ns2.hellotvvod.com:9906/a74e9c0ec31d4221ada033086c1e0f40.ts
 智林体育台,mitv://ns2.hellotvvod.com:9906/f211841a29ab4cb083d922e961d142b2.ts
 博斯运动二台,mitv://ns2.hellotvvod.com:9906/d04181a1b8eb482b877d749c05178667.ts
 OUTDOOR,mitv://ns2.hellotvvod.com:9906/adf65bd2e35e4f64b911546770c0d901.ts
 HBO强档巨献,mitv://ns2.hellotvvod.com:9906/2fed01ab59c643fbb21d343a41a4313c.ts
 HBO原创巨献,mitv://ns2.hellotvvod.com:9906/35a868e88f7b42168184d7d79b1b95c1.ts
 国家地理高画质野生频道,mitv://ns2.hellotvvod.com:9906/86425a4ca91e4eb596ddfb03352b66f2.ts
 BBC Earth,mitv://ns2.hellotvvod.com:9906/d7a1fd197f084567a6220f59fb4c6db0.ts
 Discovery Asia,mitv://ns2.hellotvvod.com:9906/1a3328cca86a46ca9f45d18ec3448e73.ts
 Discovery科学频道,mitv://ns2.hellotvvod.com:9906/e997b158dbbd4d1787f10e21ec838a90.ts
 DMAX,mitv://ns2.hellotvvod.com:9906/05bf94f3a33d4ebe805fc7fd217b668d.ts
 EVE,mitv://ns2.hellotvvod.com:9906/4d1708182b3d42ee9160bf349f05587f.ts
 HISTORY 2,mitv://ns2.hellotvvod.com:9906/bab7be77f2b64e31af8c9d5ce9e00975.ts
 历史频道,mitv://ns2.hellotvvod.com:9906/122fc06b2e0444b6b83840f2577635c0.ts
 罪案侦缉频道,mitv://ns2.hellotvvod.com:9906/80fa620c7b3545468b83b80d03cced2e.ts
 BBC Lifestyle,mitv://ns2.hellotvvod.com:9906/e402945a65454d7bad9f776c7ae36a5d.ts
 国家地理高画质悠人频道,mitv://ns2.hellotvvod.com:9906/5984c6a601c844ce9fda129005e38a5b.ts
 LUXE TV,mitv://ns2.hellotvvod.com:9906/cad91516bd8a4e9d8b9d0a7cdf868577.ts
 Lifetime,mitv://ns2.hellotvvod.com:9906/4376ec6af2844e879310a1dc20143088.ts
 KLT-靖天国际台,mitv://ns2.hellotvvod.com:9906/7e07771384a343ae98721f9c83a8cf4c.ts
 HGTV居家乐活频道,mitv://ns2.hellotvvod.com:9906/12a0309b76e443adbee45263fa6883bb.ts
 Love Nature,mitv://ns2.hellotvvod.com:9906/00375bac48344dec87812af95a87cb75.ts
 美食星球,mitv://ns2.hellotvvod.com:9906/f23e8e411b6e4a99969915117c489886.ts
 亚洲美食频道,mitv://ns2.hellotvvod.com:9906/f6b32571bb3f4386994985f13878d2e5.ts
 Food Network,mitv://ns2.hellotvvod.com:9906/5dfac535aab74ffe8afb1b4455299036.ts
 亚洲旅游台,mitv://ns2.hellotvvod.com:9906/ac9464077a9e4a91b21160fd104c8325.ts
 EYE TV旅游台,mitv://ns2.hellotvvod.com:9906/2997047e208c40edbb863862ae7fcd6f.ts
 Travel Channel,mitv://147.135.39.171:9906/60563719000925f79e2d93e67ebc5a59.ts
 时尚频道,mitv://ns2.hellotvvod.com:9906/4fc2a4ec29d34e12b7d17da7646c2a0f.ts
 好消息2台,mitv://ns2.hellotvvod.com:9906/fe8a3ed009c54c9b9a50a91d81d5af89.ts
 三立综合台,mitv://ns2.hellotvvod.com:9906/e7b18466052d4233997274594bae862a.ts
 靖天资讯台,mitv://ns2.hellotvvod.com:9906/5a453123d0504a3980a42486ac7bcfb1.ts
 靖天综合台,mitv://ns2.hellotvvod.com:9906/c0a484eab02442d8880b3e8cc35c338d.ts
 靖天育乐台,mitv://ns2.hellotvvod.com:9906/fc475f5b7a604c7ea33b0b8b9c64318d.ts
 中视经典台,mitv://ns2.hellotvvod.com:9906/68082cf98d044b6386b20bb40b2c885c.ts
 中视菁采台,mitv://ns2.hellotvvod.com:9906/87c7ff07917048029db62a28c37c15c7.ts
 TVBS精采台,mitv://ns2.hellotvvod.com:9906/6e926621f874422c9dd31624ddeffb0b.ts
 壹电视综合,mitv://ns2.hellotvvod.com:9906/e7c17467ba2a47e3b4bb4438bece3798.ts
 纬来精采,mitv://ns2.hellotvvod.com:9906/00258c46395c40b8b5512e0a27972656.ts
 ETtoday综合台,mitv://ns2.hellotvvod.com:9906/06dc9a3dba32488ba1807a56506211ff.ts
 民视第一台,mitv://ns2.hellotvvod.com:9906/9f6c0e8c79074cdea26aec4caf5f3825.ts
 民视台湾台,mitv://ns2.hellotvvod.com:9906/d39691e3f525402f9881cc4f3e419732.ts
 Nice TV靖天欢乐台,mitv://ns2.hellotvvod.com:9906/8d2a040962214faca51923406edcccc3.ts
 新唐人亚太台,mitv://ns2.hellotvvod.com:9906/0a04cdbea412449b8f5d0dd76ae6aa6d.ts
 八大优频道,mitv://ns2.hellotvvod.com:9906/a168a9e7f59240fdb088ab965407b276.ts
 三立戏剧台,mitv://ns2.hellotvvod.com:9906/6bda25ddc4e7421da57776b072a90776.ts
 龙华戏剧,mitv://ns2.hellotvvod.com:9906/69118e4132a145e1b0da239eb972d46b.ts
 靖天戏剧台,mitv://ns2.hellotvvod.com:9906/69fa2fdd725042b3804331c492200061.ts
 靖洋戏剧台,mitv://ns2.hellotvvod.com:9906/6959af9f6bb5441b89de4081af22da27.ts
 靖天日本台,mitv://ns2.hellotvvod.com:9906/8a1a2957d22940f99c2f42b568c8feba.ts
 i-Fun动漫台,mitv://ns2.hellotvvod.com:9906/e6f5bf96f56b4cb695c215970404d060.ts
 tvN,mitv://147.135.39.171:9906/5f25734d0009e72b5191c20a0d235030.ts
 韩国娱乐台,mitv://ns2.hellotvvod.com:9906/acfed5be0fb7482cbd25e504b62c9c30.ts
 星卫娱乐台,mitv://ns2.hellotvvod.com:9906/9809bbb6e3cb408cae1e61a2fc214621.ts
 BLUE ANT Extreme,mitv://ns2.hellotvvod.com:9906/d098409bc2db4be984d9531d24c4bd72.ts
 中视新闻台,mitv://ns2.hellotvvod.com:9906/78e34df1cbfa41fb880b7ef43e7179f4.ts
 寰宇新闻台,mitv://ns2.hellotvvod.com:9906/5f45cb224f7a41398abb0900f3ae9136.ts
 华视新闻,mitv://ns2.hellotvvod.com:9906/2de8df9e69fa44c78e71e42be6ae8fa6.ts
 Euronews,mitv://147.135.39.171:9906/605a016e000f2786acfbf17426312f52.ts
 NHK新闻资讯台,mitv://ns2.hellotvvod.com:9906/1a59bd8c40294c67a934e6abe1e4695f.ts
 美亚电影台HD,mitv://ns2.hellotvvod.com:9906/fc3865d574214edb874ca3cda2c054bf.ts
 龙华电影,mitv://ns2.hellotvvod.com:9906/7f464655fef842198f85d9d3036ada55.ts
 星卫HD电影台,mitv://ns2.hellotvvod.com:9906/12e2e7316aa547f48c7b367d7eacc05e.ts
 靖天映画,mitv://ns2.hellotvvod.com:9906/f7bbcb08be5f44c59e7b7bf337a3b567.ts
 靖天电影台,mitv://ns2.hellotvvod.com:9906/b78b74d3e88d434eafd9d6928becaa22.ts
 WARNER TV,mitv://ns2.hellotvvod.com:9906/8d04397489024e11b7080e9a142f3420.ts
